aniso_fs	aniso_fsc	dldir_fs	dliso_fs	dlsyn_fs	iso_fs	iso_fsc	res_fs	res_fsc	synth_fs
1630722.000000	1531961.000000	1282798.000000	1336419.000000	1290761.000000	1702301.000000	1588338.000000	1641369.000000	1568772.000000	1704370.000000
1396846.000000	1284831.000000	1055686.000000	1110473.000000	1060623.000000	1384800.000000	1289978.000000	1398867.000000	1280892.000000	1426646.000000
1300450.000000	1211073.000000	960636.000000	1002104.000000	1004249.000000	1308073.000000	1201028.000000	1307645.000000	1214249.000000	1349287.000000
1562446.000000	1463837.000000	1189020.000000	1255681.000000	1200745.000000	1609131.000000	1462909.000000	1547982.000000	1465849.000000	1625378.000000
1452783.000000	1332612.000000	1096562.000000	1133417.000000	1116004.000000	1465387.000000	1352704.000000	1452614.000000	1342723.000000	1509196.000000
1600173.000000	1519394.000000	1248964.000000	1261764.000000	1269964.000000	1607159.000000	1477911.000000	1600604.000000	1518836.000000	1657232.000000
1417791.000000	1321169.000000	1070842.000000	1135795.000000	1089770.000000	1451067.000000	1314153.000000	1423767.000000	1320279.000000	1487833.000000
1320654.000000	1256460.000000	997858.000000	1104307.000000	1066958.000000	1369997.000000	1253829.000000	1320715.000000	1256543.000000	1408741.000000
1449659.000000	1351381.000000	1111031.000000	1169741.000000	1115607.000000	1461921.000000	1330866.000000	1452882.000000	1353370.000000	1503841.000000
1307727.000000	1204318.000000	963572.000000	1016349.000000	1003535.000000	1318646.000000	1208332.000000	1300011.000000	1209844.000000	1362348.000000
1260412.000000	1167521.000000	950964.000000	999546.000000	978460.000000	1282486.000000	1163623.000000	1255276.000000	1168633.000000	1319000.000000
1387580.000000	1294103.000000	1030349.000000	1087864.000000	1051418.000000	1413466.000000	1299462.000000	1385302.000000	1290946.000000	1425035.000000
1470984.000000	1390718.000000	1174819.000000	1235794.000000	1161995.000000	1484787.000000	1382612.000000	1487366.000000	1394598.000000	1530858.000000
1306661.000000	1233946.000000	1030022.000000	1073081.000000	1044773.000000	1365357.000000	1230779.000000	1321318.000000	1243528.000000	1364595.000000
1197425.000000	1118672.000000	977684.000000	1032125.000000	960468.000000	1248960.000000	1148697.000000	1192401.000000	1126186.000000	1243388.000000
1386191.000000	1292969.000000	1088945.000000	1123923.000000	1087396.000000	1410299.000000	1292264.000000	1385740.000000	1297477.000000	1439970.000000
1513921.000000	1415723.000000	1213244.000000	1281758.000000	1207507.000000	1554696.000000	1427349.000000	1515626.000000	1422629.000000	1562736.000000
1336699.000000	1252740.000000	1043677.000000	1087537.000000	1048221.000000	1361969.000000	1252487.000000	1338586.000000	1253046.000000	1389783.000000
1538047.000000	1459567.000000	1172302.000000	1254864.000000	1205865.000000	1554926.000000	1438240.000000	1544515.000000	1459976.000000	1602113.000000
